1	383
2	105
3	75
4	171
5	69
6	20
7	307
8	173
9	246
10	73
11	195
12	211
13	134
14	140
15	235
16	31
17	72
18	7
19	59
20	53
21	68
22	230
23	157
24	136
25	231
26	57
27	50
28	222
29	95
30	30
31	124
32	57
33	74
34	3
35	9
36	8
37	6
38	94
39	66
40	41
41	29
42	119
43	30
44	57
45	63
46	20
47	104
48	85
49	64
50	484
51	59
52	69
53	105
54	74
55	114
56	312
57	29
58	138
59	68
60	60
61	49
62	100
63	67
64	223
65	93
66	136
67	78
68	104
69	259
70	198
71	175
72	108
73	99
74	4
75	4
76	40
77	116
78	26
79	267
80	56
81	91
82	208
83	140
84	16
85	47
86	119
87	107
88	174
89	224
90	76
91	118
92	81
93	89
94	106
95	184
96	240
97	208
98	300
99	136
100	395
101	54
102	40
103	8
104	3
105	60
106	54
107	33
108	51
109	100
110	25
111	234
112	16
113	7
114	45
115	10
116	103
117	302
118	240
119	3
120	46
121	353
122	85
123	95
124	148
125	198
126	76
127	340
128	50
129	99
130	20
131	77
132	200
133	138
134	158
135	202
136	85
137	141
138	12
139	37
140	49
141	61
142	41
143	178
144	195
145	52
146	8
147	145
148	86
149	18
150	126
151	260
152	63
153	197
154	130
155	77
156	115
157	99
158	50
159	81
160	49
161	173
162	81
163	72
164	116
165	55
166	51
167	57
168	264
169	97
170	104
171	56
172	295
173	266
174	344
175	156
176	226
177	116
178	102
179	182
180	179
181	422
182	177
183	223
184	93
185	193
186	206
187	176
188	133
189	48
190	98
191	218
192	98
193	126
194	189
195	239
196	197
197	192
198	104
199	130
200	165
201	71
202	224
203	147
204	277
205	113
206	38
207	54
208	156
209	149
210	271
211	170
212	72
213	103
214	87
215	167
216	218
217	95
218	126
219	89
220	53
221	57
222	294
223	110
224	34
225	90
226	132
227	128
228	194
229	134
230	159
231	114
232	78
233	102
234	218
235	177
236	38
237	309
238	207
239	122
240	126
241	92
242	94
243	108
244	40
245	193
246	97
247	4
248	131
249	103
250	159
251	34
252	125
253	21
254	51
255	140
256	14
257	251
258	402
259	133
260	101
261	34
262	55
263	16
264	84
265	169
266	27
267	3
268	203
269	252
270	113
271	178
272	154
273	185
274	152
275	217
276	235
277	52
278	46
279	21
280	73
281	113
282	192
283	152
284	161
285	135
286	388
287	61
288	391
289	210
290	76
291	101
292	92
293	129
294	394
295	60
296	6
297	39
298	152
299	58
300	352
301	187
302	245
303	110
304	122
305	68
306	75
307	157
308	24
309	21
310	124
311	65
312	62
313	277
314	2
315	136
316	96
317	81
318	237
319	145
320	15
321	135
322	170
323	199
324	99
325	93
326	151
327	139
328	237
329	40
330	38
331	93
332	112
333	207
334	51
335	18
336	34
337	15
338	74
339	38
340	155
341	7
342	44
343	106
344	47
345	54
346	104
347	110
348	21
349	25
350	30
351	14
352	24
353	12
354	59
355	36
356	82
357	210
358	131
359	15
360	8
361	7
362	21
363	34
364	29
365	40
366	32
367	146
368	20
369	43
370	27
371	57
372	27
373	35
374	8
375	19
376	19
377	9
378	84
379	30
380	97
381	81
382	90
383	21
384	53
385	168
386	69
387	45
388	26
389	21
390	8
391	48
392	58
393	159
394	10
395	45
